"","Program/Agency Name","Project Name","Sub-Project Name","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","Total 10 Year","Ward Number","Ward","Category"
"2933","Solid Waste Management","Engineering Planning Studies","Engineering Planning Studies - 2021 New",0,-55,0,0,0,0,0,0,0,0,-55,"CW","City Wide","Service Improvement and Enhancement"
"2934","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","BERMONDSEY TS",374,0,0,0,0,0,0,0,0,0,374,"CW","City Wide","State of Good Repair"
"2935","Solid Waste Management","PERPETUAL CARE OF LANDFILLS","KEELE VALLEY",1750,1750,1750,1750,1551,1500,1500,1500,0,0,13051,"CW","City Wide","Legislated"
"2936","Solid Waste Management","Dufferin SSO Facility","Dufferin SSO Facility",1300,0,0,0,0,0,0,0,0,0,1300,"CW","City Wide","Growth Related"
"2937","Solid Waste Management","Biogas Utilization","Biogas Utilization at Dufferin",30,0,0,0,0,0,0,0,0,0,30,"CW","City Wide","Service Improvement and Enhancement"
"2938","Solid Waste Management","Biogas Utilization","Biogas Utilization at Dufferin",269,0,0,0,0,0,0,0,0,0,269,"CW","City Wide","Service Improvement and Enhancement"
"2939","Solid Waste Management","Biogas Utilization","Biogas Utilization at Disco",-7,2,1,0,0,0,0,0,0,0,-4,"CW","City Wide","Service Improvement and Enhancement"
"2940","Solid Waste Management","ORGANICS PROCESSING FACILITY","ORGANIC PROCESSING FACILITY",2051,21446,34450,33107,25055,12503,0,0,0,0,128612,"CW","City Wide","Growth Related"
"2941","Solid Waste Management","ORGANICS PROCESSING FACILITY","ORGANIC PROCESSING FACILITY",-821,-5706,-5506,-5143,-3942,-5003,-303,-303,-292,-292,-27311,"CW","City Wide","Growth Related"
"2942","Solid Waste Management","Perpetual Care of Landfills","Perpetual Care of Landfills-CSW312-16",-224,0,0,0,0,0,0,0,0,0,-224,"CW","City Wide","Legislated"
"2943","Solid Waste Management","Transfer Station Asset Management","Transfer Station Asset Management-CSW361-18",6,6,0,0,0,0,0,0,0,0,12,"CW","City Wide","State of Good Repair"
"2944","Solid Waste Management","Transfer Station Asset Management","Transfer Station Asset Managemnet-2017",25,7,3,0,0,0,0,0,0,0,35,"CW","City Wide","State of Good Repair"
"2945","Solid Waste Management","OPF ASSET MANAGEMENT","DISCO OPF",1265,1203,806,554,659,314,1412,0,0,0,6213,"CW","City Wide","State of Good Repair"
"2946","Solid Waste Management","Landfill Capacity Dev/Energy from Waste","Landfill Capacity Dev/Energy from Waste",-990,0,0,0,0,0,0,0,0,0,-990,"CW","City Wide","Legislated"
"2947","Solid Waste Management","SWM IT Application Initiatives","TOwaste Mobile App version 2.0",200,265,0,0,0,0,0,0,0,0,465,"CW","City Wide","Service Improvement and Enhancement"
"2948","Solid Waste Management","SWM IT Application Initiatives","Building Automation System Upgrade",0,395,0,0,0,0,0,0,0,0,395,"CW","City Wide","Service Improvement and Enhancement"
"2949","Solid Waste Management","SWM IT Application Initiatives","Mobile Data Collector 3 - Waste Auditing/Inspectn",0,131,350,0,0,0,0,0,0,0,481,"CW","City Wide","Service Improvement and Enhancement"
"2950","Solid Waste Management","SWM IT Application Initiatives","SWMS Business Intelligence Implementation",100,-200,0,0,0,0,0,0,0,0,-100,"CW","City Wide","Service Improvement and Enhancement"
"2951","Solid Waste Management","Disco SSO Facility","Disco SSO Facility",63,0,0,0,0,0,0,0,0,0,63,"CW","City Wide","Growth Related"
"2952","Solid Waste Management","Disco SSO Facility","Disco SSO Facility",-63,0,0,0,0,0,0,0,0,0,-63,"CW","City Wide","Growth Related"
"2953","Solid Waste Management","Long Term Waste Management Strategy","PROMO & EDU / UFRICE / 3RS&MR",2000,1500,1350,1223,0,0,0,0,0,0,6073,"CW","City Wide","Service Improvement and Enhancement"
"2954","Solid Waste Management","PERPETUAL CARE OF LANDFILLS","BEARE ROAD",110,110,110,110,110,110,110,110,0,0,880,"CW","City Wide","Legislated"
"2955","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","BERMONDSEY TS",1174,1111,1351,912,323,464,285,250,0,0,5870,"CW","City Wide","State of Good Repair"
"2956","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","VICTORIA PARK TS",74,491,388,751,230,-72,-578,-326,531,0,1489,"CW","City Wide","State of Good Repair"
"2957","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","VICTORIA PARK TS",278,1849,1458,751,230,-71,-578,-325,530,0,4122,"CW","City Wide","State of Good Repair"
"2958","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","COMMISSIONERS TS",-357,-320,-7,791,1387,1038,181,77,372,0,3162,"CW","City Wide","State of Good Repair"
"2959","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","TSAM GENERAL",366,402,225,444,491,-31,-167,121,243,2605,4699,"CW","City Wide","State of Good Repair"
"2960","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","DUFFERIN MAINTENANCE YARD",-11,-15,-43,-204,-35,102,53,-133,-235,550,29,"CW","City Wide","State of Good Repair"
"2961","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","DUFFERIN MAINTENANCE YARD",-40,-59,-161,-204,-35,102,53,-133,-235,550,-162,"CW","City Wide","State of Good Repair"
"2962","Solid Waste Management","Long Term Waste Management Strategy","Policy Planning Studies",-750,250,250,250,0,0,0,0,0,0,0,"CW","City Wide","Service Improvement and Enhancement"
"2963","Solid Waste Management","Green Lane Landfill Development","Landfill Gas Control System",724,2931,111,0,890,0,0,0,0,0,4656,"CW","City Wide","Legislated"
"2964","Solid Waste Management","Green Lane Landfill Development","Site Services/Final Cover/Storm Control",0,840,840,448,0,0,0,0,0,0,2128,"CW","City Wide","Legislated"
"2965","Solid Waste Management","Green Lane Landfill Development","Cell Excavation & Base Construction",2622,0,0,0,0,0,0,0,0,0,2622,"CW","City Wide","Legislated"
"2966","Solid Waste Management","Green Lane Landfill Development","BUFFER LAND ACQUSITION",0,0,0,-1902,0,0,0,0,0,0,-1902,"CW","City Wide","Legislated"
"2967","Solid Waste Management","Green Lane Landfill Development","Engineering & Monitoring",0,750,1350,720,0,0,0,0,0,0,2820,"CW","City Wide","Legislated"
"2968","Wastewater Program","TRUNK SEWER SYSTEM","EMERGENCY TRUNK SEWER REPAIRS",350,350,0,0,0,0,0,0,0,0,700,"CW","City Wide","State of Good Repair"
"2969","Wastewater Program","HIGHLAND CREEK WWTP UPGRADES","LIQUID TRAIN - ENGINEERING",1922,3947,6205,3950,3950,3754,3790,3360,3600,0,34478,"CW","City Wide","State of Good Repair"
"2970","Wastewater Program","NEW SEWER CONSTRUCTION","WATERFRONT SANITARY MASTER SERVICING PLAN IMPLEMEN",10230,1462,945,447,167,0,0,0,0,0,13251,"CW","City Wide","Growth Related"
"2971","Wastewater Program","NEW SEWER CONSTRUCTION","NEW SEWERS",200,0,0,0,0,0,0,0,0,0,200,"CW","City Wide","Growth Related"
"2972","Wastewater Program","ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING","M & T PUMPING STATION CRITICAL REPAIRS",622,2075,315,20,0,0,0,0,0,0,3032,"CW","City Wide","State of Good Repair"
"2973","Wastewater Program","STREAM RESTORATION & EROSION CONTROL","STUDIES, EAs, MASTER PLANS",253,117,55,47,0,0,0,0,0,0,472,"CW","City Wide","State of Good Repair"
"2974","Wastewater Program","DON & WATERFRONT TRUNK CSO","DCW - PH 1 - OFFLINE STOR TANK AT SHEPPARD/LESLIE",1097,971,961,179,0,0,0,0,0,0,3208,"CW","City Wide","Service Improvement and Enhancement"
"2975","Wastewater Program","HUMBER WWTP - LIQUID TREATMENT & HANDLING","SECONDARY TREATMENT UPGRADES - SOUTH - CONSTRUCTI",151,221,0,0,0,0,0,0,0,0,372,"CW","City Wide","State of Good Repair"
"2976","Wastewater Program","HUMBER WWTP - LIQUID TREATMENT & HANDLING","SECONDARY TREATMENT UPGRADES - SOUTH - CONSTRUCTI",1545,2270,0,0,0,0,0,0,0,0,3815,"CW","City Wide","State of Good Repair"
"2977","Wastewater Program","DON & WATERFRONT TRUNK CSO","DCW - PH 1 - OFFLINE STORAGE TANK AT SHEPP/LESLIE",-491,708,82,425,0,0,0,0,0,0,724,"CW","City Wide","Service Improvement and Enhancement"
"2978","Wastewater Program","HUMBER WWTP - LIQUID TREATMENT & HANDLING","SECONDARY TREATMENT UPGRADES - SOUTH - CONSTRUCTI",735,-509,0,0,0,0,0,0,0,0,226,"CW","City Wide","State of Good Repair"
"2979","Wastewater Program","SEWAGE PUMPING STATION UPGRADES","SPS UPGRADES - GROUP 6",-7984,2665,6304,0,0,0,0,0,0,0,985,"CW","City Wide","Legislated"
"2980","Wastewater Program","SEWAGE PUMPING STATION UPGRADES","ELLIS AND SOUTHPORT",-20,75,1,0,0,0,0,0,0,0,56,"CW","City Wide","State of Good Repair"
"2981","Wastewater Program","SEWAGE PUMPING STATION UPGRADES","SPS UPGRADES - GROUP 6",782,652,6,0,0,0,0,0,0,0,1440,"CW","City Wide","Legislated"
"2982","Wastewater Program","HUMBER WWTP UPGRADES","SERVICE REHAB AND UPGRADES",18922,27420,13026,25,0,0,0,0,0,0,59393,"CW","City Wide","State of Good Repair"
"2983","Wastewater Program","ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING","AERATION TANK 12 & 13",3301,2559,5294,13572,13572,13572,13972,13467,10180,0,89489,"CW","City Wide","Growth Related"
"2984","Wastewater Program","DON & WATERFRONT TRUNK CSO","Don & Waterfront Trunk/CSO Construction - PHASE 1",-505,1938,1789,0,0,0,0,0,0,0,3222,"CW","City Wide","Service Improvement and Enhancement"
"2985","Wastewater Program","SEWER REPLACEMENT PROGRAM","FORCEMAIN REPLACEMENT - PHASE 2",4678,2554,-779,1043,1105,5384,3330,0,0,0,17315,"CW","City Wide","State of Good Repair"
"2986","Wastewater Program","SEWER REPLACEMENT PROGRAM","SEWER REPLC - 2018 PROGRAM",25,0,0,0,0,0,0,0,0,0,25,"CW","City Wide","State of Good Repair"
"2987","Wastewater Program","SEWER REPLACEMENT PROGRAM","SEWER REPLACEMENT - SUBWAY EXPANSION",44,114,82,68,68,68,68,46,0,0,558,"CW","City Wide","State of Good Repair"
"2988","Wastewater Program","SEWER REPLACEMENT PROGRAM","SEWER REPLACEMENT - SUBWAY EXPANSION",531,1386,1716,1432,1432,1432,1432,954,0,0,10315,"CW","City Wide","State of Good Repair"
"2989","Wastewater Program","STREAM RESTORATION & EROSION CONTROL","WATERCOURSE - ENGINEERING",3612,2862,3360,3055,1443,1154,884,525,279,0,17174,"CW","City Wide","State of Good Repair"
"2990","Wastewater Program","ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING","INTEGRATED PUMPING STATION (IPS) - ENGINEERING",979,479,222,249,222,213,231,52,7,0,2654,"CW","City Wide","State of Good Repair"
"2991","Wastewater Program","TRUNK SEWER SYSTEM","LOWER SIMCOE CSO",65,1416,210,281,40,7,0,0,0,0,2019,"CW","City Wide","Service Improvement and Enhancement"
"2992","Wastewater Program","HIGHLAND CREEK WWTP UPGRADES","LIQUID TRAIN REPAIRS - PHASE 1",5349,11300,20816,0,0,0,0,0,0,0,37465,"CW","City Wide","State of Good Repair"
"2993","Wastewater Program","HIGHLAND CREEK WWTP UPGRADES","CEPA COMPLIANCE - CL NOTICE - HCTP",-2888,2829,-9,4,0,0,0,0,0,0,-64,"CW","City Wide","Legislated"
"2994","Wastewater Program","HIGHLAND CREEK WWTP UPGRADES","LIQUID TRAIN - ENGINEERING",2909,-1493,-2265,-50,-50,-50,-80,90,100,1034,145,"CW","City Wide","State of Good Repair"
"2995","Wastewater Program","HIGHLAND CREEK WWTP UPGRADES","LIQUID TRAIN REPAIRS - PHASE 1",12131,-930,-11017,0,0,0,0,0,0,0,184,"CW","City Wide","State of Good Repair"
"2996","Wastewater Program","SEWER ASSET PLANNING","SEWER SYSTEM INSPECTION",12172,12254,0,0,0,0,0,0,0,0,24426,"CW","City Wide","State of Good Repair"
"2997","Wastewater Program","SEWER ASSET PLANNING","SEWER SYSTEM INSPECTION",2268,0,0,0,0,0,0,0,0,0,2268,"CW","City Wide","State of Good Repair"
"2998","Wastewater Program","ASHBRIDGES BAY WWTP REHAB","FERROUS UPGRADES",17,0,0,0,0,0,0,0,0,0,17,"CW","City Wide","State of Good Repair"
"2999","Wastewater Program","ASHBRIDGES BAY WWTP REHAB","EAST BYPASS",-615,500,2250,-225,-1725,-1675,-25,0,0,0,-1515,"CW","City Wide","Legislated"
"3000","Wastewater Program","BASEMENT FLOODING RELIEF","BF TUNNEL - CONSTRUCTION",-22370,-2942,10678,12452,6831,0,0,0,0,0,4649,"CW","City Wide","Service Improvement and Enhancement"
"3001","Wastewater Program","BASEMENT FLOODING RELIEF","BASEMENT FLOODING DESIGN - GROUP 4 (ENGINEERING)",-2680,-1058,-92,102,1243,0,0,0,0,0,-2485,"CW","City Wide","Service Improvement and Enhancement"
"3002","Wastewater Program","BASEMENT FLOODING RELIEF","BASEMENT FLOODING PROTECTION SUBSIDY PROGRAM",0,5500,0,0,0,0,0,0,0,0,5500,"CW","City Wide","Service Improvement and Enhancement"
"3003","Wastewater Program","NORTH TORONTO WTP UPGRADES","NTTP - ELECTRICAL UPGRADES - ECAR",2950,3061,23,20,0,0,0,0,0,0,6054,"CW","City Wide","Health and Safety"
"3004","Wastewater Program","ENGINEERING","CONSULTING FEES",2222,2183,977,668,111,50,5,29,24,0,6269,"CW","City Wide","State of Good Repair"
"3005","Wastewater Program","TRUNK SEWER SYSTEM","TRUNK SEWER REHABILITATION - 2014",2551,19,0,0,0,0,0,0,0,0,2570,"CW","City Wide","State of Good Repair"
"3006","Wastewater Program","TRUNK SEWER SYSTEM","ODOUR CONTROL AND CORROSION CONTROL",1000,1800,2100,1330,340,10,0,0,0,0,6580,"CW","City Wide","Service Improvement and Enhancement"
"3007","Wastewater Program","ASHBRIDGES BAY WWTP - SOLIDS & GAS HANDLING","DIGESTERS 9-12 REFURBISH",-1284,189,1,0,0,0,0,0,0,0,-1094,"CW","City Wide","State of Good Repair"
"3008","Wastewater Program","ASHBRIDGES BAY WWTP - SOLIDS & GAS HANDLING","PELLETIZER TRUCK LOADING FACILITY UPGRADES",-5613,-349,-5,0,0,0,0,0,0,0,-5967,"CW","City Wide","State of Good Repair"
"3009","Wastewater Program","ASHBRIDGES BAY WWTP - EFFLUENT SYSTEM","DISINFECTION ENGINEERING",-209,-207,601,0,0,0,0,0,0,0,185,"CW","City Wide","Legislated"
"3010","Wastewater Program","ASHBRIDGES BAY WWTP - EFFLUENT SYSTEM","DISINFECTION ENGINEERING",2811,3012,105,0,0,0,0,0,0,0,5928,"CW","City Wide","Legislated"
"3011","Wastewater Program","BASEMENT FLOODING RELIEF","BF TUNNEL - CONSTRUCTION",7215,7990,5703,1953,0,0,0,0,0,0,22861,"CW","City Wide","Service Improvement and Enhancement"
"3012","Wastewater Program","BASEMENT FLOODING RELIEF","BASEMENT FLOODING RELIEF - GROUP 4 (CONST DC)",4259,1982,131,0,0,0,0,0,0,0,6372,"CW","City Wide","Service Improvement and Enhancement"
"3013","Wastewater Program","BASEMENT FLOODING RELIEF","NEW - REFRESHING EXPIRED EA S",1300,1750,1600,1500,1650,1750,1900,1850,1850,0,15150,"CW","City Wide","Service Improvement and Enhancement"
"3014","Wastewater Program","BASEMENT FLOODING RELIEF","BASEMENT FLOODING RELIEF - GROUP 4 (CONST DC)",-20834,17266,42210,27671,18054,28403,27299,25287,25732,6263,197351,"CW","City Wide","Service Improvement and Enhancement"
"3015","Water Program","TRANSMISSION R&R","ST CLAIR RESERVOIR REHAB/WATER QUALITY PROTECTION",23,0,0,0,0,0,0,0,0,0,23,"CW","City Wide","State of Good Repair"
"3016","Water Program","DIST W/M REHABILITATION","HYDRANT & VALVE REPAIR",1000,500,0,0,0,0,0,0,0,0,1500,"CW","City Wide","State of Good Repair"
"3017","Water Program","ENGINEERING STUDIES","IMPROVED TREATMENT STUDIES",208,20,0,0,0,0,0,0,0,0,228,"CW","City Wide","Service Improvement and Enhancement"
"3018","Water Program","TRUNK WATERMAIN EXPANSION","JOS - WM from Scar PS to St. Clair & Midl (CONST)",797,0,0,0,0,0,0,0,0,0,797,"CW","City Wide","Growth Related"
"3019","Wastewater Program","EMERY CREEK POND","EMERY CREEK POND",-38,0,0,0,0,0,0,0,0,0,-38,"CW","City Wide","Service Improvement and Enhancement"
"3020","Wastewater Program","ASHRIDGES BAY TP YR2005","MISC MECH ENGINEERING",-66,0,0,0,0,0,0,0,0,0,-66,"CW","City Wide","State of Good Repair"
"3021","Wastewater Program","ASHRIDGES BAY TP YR2005","MISC MECH ENGINEERING",66,0,0,0,0,0,0,0,0,0,66,"CW","City Wide","State of Good Repair"
"3022","Wastewater Program","SEWER SYSTEM REHABILITATION","SEWER REHABILITATION",42091,26207,1500,0,0,0,0,0,0,0,69798,"CW","City Wide","State of Good Repair"
"3023","Water Program","DIST W/M REPLACEMENT","WATERMAIN REPLACEMENT - METROLINX",8475,0,1863,438,0,0,0,0,0,0,10776,"CW","City Wide","State of Good Repair"
"3024","Water Program","DIST W/M REPLACEMENT","WM REPLACEMENT - GO RAIL EXPANSION",531,924,954,954,954,954,477,477,0,0,6225,"CW","City Wide","State of Good Repair"
"3025","Water Program","TRUNK WATERMAIN EXPANSION","JOS - WM from Scar PS to St. Clair & Midland (ENG)",-22,91,0,0,0,0,0,0,0,0,69,"CW","City Wide","Growth Related"
"3026","Water Program","SWITCH GEAR TRANSFORMER","INDOOR/OUTDOOR SWITCHGEAR (PHASE 4)",9400,9400,7699,54,0,0,0,0,0,0,26553,"CW","City Wide","State of Good Repair"
"3027","Water Program","WATER SUSTAINABILITY PROGRAM","STANDBY POWER - ROSEHILL",32,0,0,0,0,0,0,0,0,0,32,"CW","City Wide","Service Improvement and Enhancement"
"3028","Water Program","WATER SUSTAINABILITY PROGRAM","STANDBY POWER - ROSEHILL",169,0,0,0,0,0,0,0,0,0,169,"CW","City Wide","Service Improvement and Enhancement"
"3029","Water Program","LAWRENCE ALLAN REVITALIZATION PLAN","LAWRENCE ALLAN REVITALIZATION PLAN - EXTERNAL",0,2155,2305,484,0,0,0,0,0,0,4944,"CW","City Wide","Growth Related"
"3030","Water Program","WT&S PLANTWIDE","SOURCE WATER PROTECTION - LAKE ONTARIO COLLABORATI",1863,1655,321,296,366,366,366,436,436,0,6105,"CW","City Wide","Service Improvement and Enhancement"
"3031","Water Program","DISTRICT WATERMAINS - NEW","NEW WATERMAIN",300,0,0,0,0,0,0,0,0,0,300,"CW","City Wide","Growth Related"
"3032","Water Program","WATER EFFICIENCY PROGRAM","PUBLIC EDUCATION & PROMOTIONS",30,0,0,0,0,0,0,0,0,0,30,"CW","City Wide","Growth Related"
"3033","Water Program","TRANSMISSION R&R","PS REHAB - PHASE 2 - CONSTRUCTION",-931,3343,3181,0,0,0,0,0,0,0,5593,"CW","City Wide","State of Good Repair"
"3034","Water Program","TRANSMISSION R&R","PS REHAB - PHASE 2 - ENG",-132,82,53,8,0,0,0,0,0,0,11,"CW","City Wide","State of Good Repair"
"3035","Water Program","FJ HORGAN W.T.P. R&R","RAW WATER PUMP UGRADES",-260,-80,0,0,0,0,0,0,0,0,-340,"CW","City Wide","State of Good Repair"
"3036","Water Program","FJ HORGAN W.T.P. R&R","ELEC GROUNDING SYSTEM &  STANDBY POWER OPTIMIZATIO",-1880,1974,-1,26,0,0,0,0,0,0,119,"CW","City Wide","Service Improvement and Enhancement"
"3037","Water Program","DIST WATER SERVICE REPAIR","2022 WATER SERVICE REPLACEMENT - SOGR",14000,20000,12000,6000,0,0,0,0,0,0,52000,"CW","City Wide","Legislated"
"3038","Water Program","ENGINEERING STUDIES","CONTROLLED SUBSTANCES ID AND ABATEMENT",-50,50,50,0,0,0,0,0,0,0,50,"CW","City Wide","Legislated"
"3039","Water Program","DIST W/M REPLACEMENT","DIST W/M REPLACEMENT - 2018",77,0,0,0,0,0,0,0,0,0,77,"CW","City Wide","State of Good Repair"
"3040","Water Program","DIST W/M REPLACEMENT","2022-2024 WATERMAIN REPLACEMENT",88303,93229,28071,9062,0,0,0,0,0,0,218665,"CW","City Wide","State of Good Repair"
"3041","Water Program","DIST W/M REPLACEMENT","DIST W/M REPLACEMENT - 2018",-608,372,764,0,0,0,0,0,0,0,528,"CW","City Wide","State of Good Repair"
"3042","Water Program","HORGAN TRUNK MAIN EXPANSION","DOWNSVIEW MAIN (KEELE PS TO DOWNSVIEW) Engineering",-495,-400,60,0,0,0,0,0,0,0,-835,"CW","City Wide","Growth Related"
"3043","Water Program","ISLAND W.T.P. R&R","CHEMICAL & RESIDUALS MANAGEMENT CONST",-9340,-1703,4373,11641,15874,7689,0,0,0,0,28534,"CW","City Wide","Legislated"
"3044","Water Program","WATER EFFICIENCY PROGRAM","PUBLIC EDUCATION & PROMOTIONS",30,0,0,0,0,0,0,0,0,0,30,"CW","City Wide","Growth Related"
"3045","Water Program","WATER EFFICIENCY PROGRAM","ANCILLARY COSTS",37,38,39,40,0,0,0,0,0,0,154,"CW","City Wide","Growth Related"
"3046","Water Program","WATER EFFICIENCY PROGRAM","ICI INDOOR WATER AUDIT",183,184,0,0,10,0,0,0,0,0,377,"CW","City Wide","Growth Related"
"3047","Water Program","WATER EFFICIENCY PROGRAM","ICI INDOOR WATER AUDIT",-183,-184,0,0,6,0,0,0,0,0,-361,"CW","City Wide","Growth Related"
"3048","Water Program","PW ENGINEERING","EASEMENT ACQUISITION",46,48,865,0,0,0,0,0,0,0,959,"CW","City Wide","Service Improvement and Enhancement"
"3049","Water Program","PW ENGINEERING","WATERMAIN ASSET PLANNING",-389,857,326,231,201,219,0,0,0,0,1445,"CW","City Wide","State of Good Repair"
"3050","Water Program","PW ENGINEERING","CAPITAL PROGRAMMING & FACILITY ASSET PLANNING",1135,1000,0,0,0,0,0,0,0,0,2135,"CW","City Wide","State of Good Repair"
"3051","Water Program","HARRIS W.T.P. R&R","HVAC REHAB CONSTRUCTION",1945,0,0,0,0,0,0,0,0,0,1945,"CW","City Wide","State of Good Repair"
"3052","Water Program","WT&S PLANTWIDE","STANDBY POWER - PHASE 2 - ENG",1738,984,889,711,696,450,36,18,18,0,5540,"CW","City Wide","Service Improvement and Enhancement"
"3053","Water Program","WT&S PLANTWIDE","UV DISINFECTION - ISLAND WTP - ENGINEERING",-309,-43,-204,87,344,210,60,24,0,0,169,"CW","City Wide","Service Improvement and Enhancement"
"3054","Water Program","WT&S PLANTWIDE","SCRUBBER & TONNER CONNECTION IMPROV AT WTP - CONS",-58,484,885,0,0,0,0,0,0,0,1311,"CW","City Wide","Service Improvement and Enhancement"
"3055","Water Program","BUSINESS SYSTEM INFRASTRUCTURE - PW","SCADA UPGRADES FOR WWT - II",-2037,-78,680,680,860,500,0,0,0,0,605,"CW","City Wide","Service Improvement and Enhancement"
"3056","Water Program","BUSINESS SYSTEM INFRASTRUCTURE - PW","SCADA SOFTWARE",-220,190,0,0,0,0,0,0,0,0,-30,"CW","City Wide","Service Improvement and Enhancement"
"3057","Water Program","DISTRICT WATERMAINS - NEW","NEW WATERMAIN",-290,500,300,0,0,0,0,0,0,0,510,"CW","City Wide","Growth Related"
"3058","Water Program","RL CLARK W.T.P. R&R","PROCESS EQUIPMENT UPGRADE ENGINEERING",-25,19,0,0,0,0,0,0,0,0,-6,"CW","City Wide","State of Good Repair"
"3059","Toronto Parking Authority","LPR/Pay-by-Plate Project","LPR/Pay-by-Plate Project",500,0,0,0,0,0,0,0,0,0,500,"CW","City Wide","Service Improvement and Enhancement"
"3060","Toronto Parking Authority","CP58 Repaving of Surface Lot","CP58 Repaving of Surface Lot",0,0,250,0,0,0,0,0,0,0,250,"11","University-Rosedale","State of Good Repair"
"3061","Toronto Parking Authority","LPR/Pay-by-Plate Project","LPR/Pay-by-Plate Project",-500,0,0,0,0,0,0,0,0,0,-500,"CW","City Wide","Service Improvement and Enhancement"
"3062","Toronto Parking Authority","CP212 / 227 Adelaide and Spadina Re-development","CP212 CP227 (JV) 363 Adelaide and 105 Spadina",0,6200,0,0,0,0,0,0,0,0,6200,"10","Spadina-Fort York","Growth Related"
"3063","Water Program","WATER SUSTAINABILITY PROGRAM","STANDBY POWER - ROSEHILL",-13,50,0,0,0,0,0,0,0,0,37,"CW","City Wide","Service Improvement and Enhancement"
"3064","Water Program","WATER SUSTAINABILITY PROGRAM","STANDBY POWER - ROSEHILL",-191,0,0,0,0,0,0,0,0,0,-191,"CW","City Wide","Service Improvement and Enhancement"
"3065","Water Program","ISLAND W.T.P. R&R","PLANTWIDE HVAC UPGRADES",102,9,0,0,0,0,0,0,0,0,111,"CW","City Wide","Service Improvement and Enhancement"
"3066","Water Program","ISLAND W.T.P. R&R","AMMONIA AND FLUORIDE SYSTEM UPGRADES",861,0,0,0,0,0,0,0,0,0,861,"CW","City Wide","State of Good Repair"
"3067","Water Program","ENGINEERING","CONSULTING FEES",2163,2175,974,721,106,56,9,32,24,0,6260,"CW","City Wide","State of Good Repair"
"3068","Water Program","ENGINEERING","CONSULTING FEES",-2591,4937,1597,-180,-1612,-666,90,493,376,0,2444,"CW","City Wide","State of Good Repair"
"3069","Water Program","ENGINEERING","TESTING - WATER",38,15,190,0,0,0,0,0,0,0,243,"CW","City Wide","State of Good Repair"
"3070","Water Program","HARRIS W.T.P. R&R","CONTROL ROOM RELOCATION",-29,38,0,0,0,0,0,0,0,0,9,"CW","City Wide","Service Improvement and Enhancement"
"3071","Water Program","HARRIS W.T.P. R&R","EXTERIOR SECURITY LIGHTING UPGRADES",-100,-450,0,550,0,0,0,0,0,0,0,"CW","City Wide","State of Good Repair"
"3072","Toronto Parking Authority","Exhaust Fan, Drain, Concrete CP 36","CP 36 Exhaust Fan, Drain, Concrete",1000,850,0,0,0,0,0,0,0,0,1850,"10","Spadina-Fort York","State of Good Repair"
"3073","Toronto Parking Authority","Etobicoke Civic Centre","Etobicoke Civic Centre",0,21515,0,0,0,0,0,0,0,0,21515,"3","Etobicoke-Lakeshore","Growth Related"
"3074","Toronto Parking Authority","Etobicoke Civic Centre","Etobicoke Civic Centre",0,-21515,10,499,0,0,0,0,0,0,-21006,"3","Etobicoke-Lakeshore","Growth Related"
"3075","Toronto Parking Authority","Structural Maint & Tech. Green Plus","Structural Maint. & Tech. Green Plus",-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,-3500,0,-31500,"CW","City Wide","State of Good Repair"
"3076","Toronto Parking Authority","CP 58 - Retaining wall and fence","CP 58 - Retaining wall and fence",0,0,500,0,0,0,0,0,0,0,500,"11","University-Rosedale","State of Good Repair"
"3077","Toronto Parking Authority","CP212 / 227 Adelaide and Spadina Re-development","CP212 CP227 (JV) 363 Adelaide and 105 Spadina",0,0,-7000,7800,0,0,0,0,0,0,800,"10","Spadina-Fort York","Growth Related"
"3078","Toronto Parking Authority","CP 36 Local WP and Concrete Repairs","CP 36 Local WP and Concrete Repairs",-1325,-1475,-2550,-2550,-2550,-2550,-2150,-1300,-300,0,-16750,"10","Spadina-Fort York","State of Good Repair"
"3079","Toronto Parking Authority","CP 12/CP 223 (JV) 30 Alvin Ave","CP 12/CP 223 (JV) 30 Alvin Ave",-4,-10,-5,0,0,0,0,0,0,0,-19,"12","Toronto-St. Pauls","Growth Related"
"3080","Toronto Parking Authority","CP 36 Local WP and Concrete Repairs","CP 36 Local WP and Concrete Repairs",1325,1475,2550,2550,2550,2550,2150,1300,300,0,16750,"10","Spadina-Fort York","State of Good Repair"
"3081","Economic Development and Culture","Cultural Infrastructure Development","Guild Revitalization - FY",0,0,0,300,600,0,300,0,0,400,1600,"24","Scarborough-Guildwood","Service Improvement and Enhancement"
